VP,method,room,position,error
7,WFS8,beta070,r1,-2.3387
8,WFS8,beta070,r1,2.4642
9,WFS8,beta070,r1,-3.2373
10,WFS8,beta070,r1,-2.0316
1,WFS8,beta080,r1,-6.4009
2,WFS8,beta080,r1,-7.7644
3,WFS8,beta080,r1,-11.9421
4,WFS8,beta080,r1,-5.5925
5,WFS8,beta080,r1,-1.1523
6,WFS8,beta080,r1,-8.4462
7,WFS8,beta080,r1,-11.6352
8,WFS8,beta080,r1,-10.8388
9,WFS8,beta080,r1,-11.5085
10,WFS8,beta080,r1,-15.1336
1,WFS8,beta080,r1,-5.8063
2,WFS8,beta080,r1,-7.198
3,WFS8,beta080,r1,-7.3843
4,WFS8,beta080,r1,-5.4862
5,WFS8,beta080,r1,-1.1421
6,WFS8,beta080,r1,-8.1431
7,WFS8,beta080,r1,-11.0459
8,WFS8,beta080,r1,-10.4692
9,WFS8,beta080,r1,-10.5669
10,WFS8,beta080,r1,-7.4578
1,WFS8,beta080,r1,-4.8877
2,WFS8,beta080,r1,-2.0269
3,WFS8,beta080,r1,-6.3154
4,WFS8,beta080,r1,-4.5042
5,WFS8,beta080,r1,0.14069
6,WFS8,beta080,r1,-2.0615
7,WFS8,beta080,r1,-8.6518
8,WFS8,beta080,r1,-7.193
9,WFS8,beta080,r1,-9.5569
10,WFS8,beta080,r1,-7.0242
1,WFS8,beta080,r1,-4.4418
2,WFS8,beta080,r1,-0.7107
3,WFS8,beta080,r1,-4.8212
4,WFS8,beta080,r1,-2.5574
5,WFS8,beta080,r1,0.77205
6,WFS8,beta080,r1,-1.8432
7,WFS8,beta080,r1,-6.7204
8,WFS8,beta080,r1,0.35288
9,WFS8,beta080,r1,-3.0377
10,WFS8,beta080,r1,-6.6808
1,WFS8,beta080,r1,-2.3709
2,WFS8,beta080,r1,1.24
3,WFS8,beta080,r1,-3.0314
4,WFS8,beta080,r1,-0.178
5,WFS8,beta080,r1,2.209
6,WFS8,beta080,r1,-1.3586
7,WFS8,beta080,r1,-5.9754
8,WFS8,beta080,r1,1.2234
9,WFS8,beta080,r1,1.7742
10,WFS8,beta080,r1,-4.668
1,WFS8,beta090,r1,-9.8284
2,WFS8,beta090,r1,-12.9339
3,WFS8,beta090,r1,-10.9205
4,WFS8,beta090,r1,-12.3808
5,WFS8,beta090,r1,-3.632
6,WFS8,beta090,r1,-13.2611
7,WFS8,beta090,r1,-10.7674
8,WFS8,beta090,r1,-7.0865
9,WFS8,beta090,r1,-20.2136
10,WFS8,beta090,r1,-14.6892
1,WFS8,beta090,r1,-6.7572
2,WFS8,beta090,r1,-3.8869
3,WFS8,beta090,r1,-8.5794
4,WFS8,beta090,r1,-5.0788
5,WFS8,beta090,r1,-1.8536
6,WFS8,beta090,r1,-7.2622
7,WFS8,beta090,r1,-10.3037
8,WFS8,beta090,r1,-6.7231
9,WFS8,beta090,r1,-10.6052
10,WFS8,beta090,r1,-11.9826
1,WFS8,beta090,r1,-2.3067
2,WFS8,beta090,r1,-1.7735
3,WFS8,beta090,r1,-7.8845
4,WFS8,beta090,r1,-3.583
5,WFS8,beta090,r1,-1.0736
6,WFS8,beta090,r1,-7.0786
7,WFS8,beta090,r1,-9.4674
8,WFS8,beta090,r1,-4.8495
9,WFS8,beta090,r1,-7.8599
10,WFS8,beta090,r1,-9.4551
1,WFS8,beta090,r1,0.13153
2,WFS8,beta090,r1,-1.3204
3,WFS8,beta090,r1,-4.6059
4,WFS8,beta090,r1,-2.4092
5,WFS8,beta090,r1,2.8617
6,WFS8,beta090,r1,-2.0401
7,WFS8,beta090,r1,-6.4785
8,WFS8,beta090,r1,-3.4823
9,WFS8,beta090,r1,-5.117
10,WFS8,beta090,r1,-8.5454
1,WFS8,beta090,r1,0.52102
2,WFS8,beta090,r1,-1.1934
3,WFS8,beta090,r1,-2.9258
4,WFS8,beta090,r1,-2.0809
5,WFS8,beta090,r1,5.426
6,WFS8,beta090,r1,-1.7434
7,WFS8,beta090,r1,-6.0007
8,WFS8,beta090,r1,-3.1281
9,WFS8,beta090,r1,15.9727
10,WFS8,beta090,r1,-7.915
1,WFS8,beta070,r2,-3.5216
2,WFS8,beta070,r2,-3.0135
3,WFS8,beta070,r2,-6.3672
4,WFS8,beta070,r2,-7.0149
5,WFS8,beta070,r2,-7.0492
6,WFS8,beta070,r2,-6.2939
7,WFS8,beta070,r2,-5.9261
8,WFS8,beta070,r2,-11.6308
9,WFS8,beta070,r2,-13.0874
10,WFS8,beta070,r2,-10.7067
1,WFS8,beta070,r2,-2.5151
2,WFS8,beta070,r2,-2.1594
3,WFS8,beta070,r2,-3.5937
4,WFS8,beta070,r2,-5.6128
5,WFS8,beta070,r2,-1.9566
6,WFS8,beta070,r2,-4.2603
7,WFS8,beta070,r2,-2.8942
8,WFS8,beta070,r2,-8.8481
9,WFS8,beta070,r2,-6.1797
10,WFS8,beta070,r2,-8.5026
1,WFS8,beta070,r2,-2.0014
2,WFS8,beta070,r2,-1.6508
3,WFS8,beta070,r2,-3.1443
4,WFS8,beta070,r2,-4.4065
5,WFS8,beta070,r2,-0.5518
6,WFS8,beta070,r2,-2.1962
7,WFS8,beta070,r2,-2.3184
8,WFS8,beta070,r2,-7.7084
9,WFS8,beta070,r2,-6.1582
10,WFS8,beta070,r2,-6.3672
1,WFS8,beta070,r2,-1.8305
2,WFS8,beta070,r2,-0.83032
3,WFS8,beta070,r2,-2.1403
4,WFS8,beta070,r2,1.2973
5,WFS8,beta070,r2,-0.30952
6,WFS8,beta070,r2,-1.7766
7,WFS8,beta070,r2,-2.1612
8,WFS8,beta070,r2,-3.851
9,WFS8,beta070,r2,-0.084366
10,WFS8,beta070,r2,-5.2106
1,WFS8,beta070,r2,-1.6276
2,WFS8,beta070,r2,1.9191
3,WFS8,beta070,r2,-1.5239
4,WFS8,beta070,r2,3.0214
5,WFS8,beta070,r2,-0.080563
6,WFS8,beta070,r2,2.7097
7,WFS8,beta070,r2,-1.1722
8,WFS8,beta070,r2,-3.0376
9,WFS8,beta070,r2,3.719
10,WFS8,beta070,r2,-2.8133
1,WFS8,beta080,r2,-6.1994
2,WFS8,beta080,r2,-11.7834
3,WFS8,beta080,r2,-10.3712
4,WFS8,beta080,r2,-2.1567
5,WFS8,beta080,r2,-2.5364
6,WFS8,beta080,r2,-10.4159
7,WFS8,beta080,r2,-7.3331
8,WFS8,beta080,r2,-14.2404
9,WFS8,beta080,r2,-9.9235
10,WFS8,beta080,r2,-7.4294
1,WFS8,beta080,r2,-5.0053
2,WFS8,beta080,r2,-6.8365
3,WFS8,beta080,r2,-8.8335
4,WFS8,beta080,r2,-1.7301
5,WFS8,beta080,r2,-1.038
6,WFS8,beta080,r2,-4.2503
7,WFS8,beta080,r2,-6.6652
8,WFS8,beta080,r2,-8.7128
9,WFS8,beta080,r2,-2.5722
10,WFS8,beta080,r2,-5.9432
1,WFS8,beta080,r2,-4.2482
2,WFS8,beta080,r2,-4.3745
3,WFS8,beta080,r2,-7.3773
4,WFS8,beta080,r2,-1.6624
5,WFS8,beta080,r2,-0.49417
6,WFS8,beta080,r2,-1.2224
7,WFS8,beta080,r2,-4.7809
8,WFS8,beta080,r2,-7.7074
9,WFS8,beta080,r2,-2.0384
10,WFS8,beta080,r2,-5.8175
1,WFS8,beta080,r2,-2.6871
2,WFS8,beta080,r2,-2.19
3,WFS8,beta080,r2,-3.7248
4,WFS8,beta080,r2,-1.2914
5,WFS8,beta080,r2,0.17295
6,WFS8,beta080,r2,-0.58873
7,WFS8,beta080,r2,-2.9759
8,WFS8,beta080,r2,-5.3114
9,WFS8,beta080,r2,1.4414
10,WFS8,beta080,r2,-4.0318
1,WFS8,beta080,r2,-0.21096
2,WFS8,beta080,r2,1.6926
3,WFS8,beta080,r2,-2.6385
4,WFS8,beta080,r2,0.072913
5,WFS8,beta080,r2,1.6665
6,WFS8,beta080,r2,4.5884
7,WFS8,beta080,r2,-2.6434
